Weight (lb),Body Fat,Muscle Mass,Water,BMI,Bone Mass,Date/Time
186.0,17.3%,35.9%,65%,25.2,0%,May 01 2025 05:06:31 AM
185.6,17.2%,35.9%,65%,25.2,0%,May 02 2025 05:29:16 AM
185.4,17.2%,35.9%,65%,25.1,0%,May 03 2025 04:38:41 AM
191.2,18.2%,35.4%,64.3%,25.9,0%,May 08 2025 05:51:29 AM
190.2,18.1%,35.4%,64.4%,25.8,0%,May 13 2025 05:36:10 AM
188.4,17.7%,35.7%,64.7%,25.5,0%,May 14 2025 05:20:10 AM
193.6,18.8%,35%,63.8%,26.3,0%,May 20 2025 05:29:12 AM
192.2,18.6%,35.2%,64%,26.1,0%,May 21 2025 05:27:23 AM
190.0,18.1%,35.5%,64.4%,25.8,0%,May 22 2025 07:11:58 AM
188.8,17.9%,35.5%,64.5%,25.6,0%,May 23 2025 05:36:08 AM
191.8,18.4%,35.3%,64.1%,26,0%,May 27 2025 07:31:59 AM
193.0,18.8%,35.1%,63.8%,26.2,0%,May 28 2025 05:43:30 AM
190.2,18.2%,35.4%,64.3%,25.8,0%,May 29 2025 05:41:48 AM
189.8,18.2%,35.4%,64.3%,25.7,0%,May 30 2025 05:07:07 AM
190.0,18.1%,35.4%,64.3%,25.8,0%,May 31 2025 07:05:36 AM
189.4,18%,35.5%,64.4%,25.7,0%,Jun 01 2025 05:52:03 AM
188.4,17.9%,35.6%,64.5%,25.5,0%,Jun 02 2025 05:47:24 AM
188.4,17.7%,35.7%,64.7%,25.5,0%,Jun 03 2025 05:50:18 AM
188.8,17.8%,35.6%,64.6%,25.6,0%,Jun 04 2025 04:56:42 AM
189.0,17.8%,35.6%,64.6%,25.6,0%,Jun 05 2025 05:34:47 AM
190.0,18.1%,35.4%,64.3%,25.8,0%,Jun 13 2025 06:19:41 AM
188.8,17.9%,35.6%,64.6%,25.6,0%,Jun 14 2025 07:14:38 AM
189.4,18%,35.5%,64.4%,25.7,0%,Jun 15 2025 07:57:15 AM
188.8,17.9%,35.6%,64.5%,25.6,0%,Jun 16 2025 05:38:05 AM
189.0,17.8%,35.6%,64.6%,25.6,0%,Jun 17 2025 08:02:30 AM
188.8,17.8%,35.6%,64.6%,25.6,0%,Jun 18 2025 05:02:26 AM
187.6,17.6%,35.7%,64.8%,25.4,0%,Jun 19 2025 05:24:33 AM
188.8,17.9%,35.6%,64.6%,25.6,0%,Jun 25 2025 05:12:48 AM
191.6,18.4%,35.3%,64.1%,26,0%,Jun 30 2025 06:58:56 AM
189.8,18.2%,35.4%,64.3%,25.7,0%,Jul 01 2025 05:02:01 AM
188.4,17.7%,35.7%,64.7%,25.5,0%,Jul 02 2025 06:01:33 AM
187.4,17.6%,35.7%,64.8%,25.4,0%,Jul 03 2025 05:02:13 AM
186.2,17.4%,35.8%,64.9%,25.3,0%,Jul 04 2025 06:27:36 AM
189.0,17.8%,35.6%,64.6%,25.6,0%,Jul 05 2025 08:41:35 AM
191.2,18.3%,35.3%,64.2%,25.9,0%,Jul 16 2025 05:11:27 AM
189.0,17.9%,35.6%,64.6%,25.6,0%,Jul 17 2025 08:05:41 AM
190.6,18.2%,35.4%,64.3%,25.8,0%,Jul 18 2025 08:04:03 AM
189.8,18.1%,35.4%,64.4%,25.7,0%,Jul 21 2025 08:51:20 AM
189.4,18%,35.5%,64.5%,25.7,0%,Jul 22 2025 05:53:00 AM
188.8,17.9%,35.6%,64.6%,25.6,0%,Jul 23 2025 06:37:58 AM
189.0,17.8%,35.6%,64.6%,25.6,0%,Jul 24 2025 06:50:37 AM
189.8,18.2%,35.4%,64.3%,25.7,0%,Jul 25 2025 05:44:48 AM
191.4,18.2%,35.4%,64.3%,26,0%,Jul 30 2025 08:17:19 AM
190.0,18.2%,35.4%,64.3%,25.8,0%,Jul 31 2025 06:38:29 AM
191.0,18.3%,35.3%,64.2%,25.9,0%,Aug 01 2025 06:30:07 AM
191.0,18.3%,35.3%,64.2%,25.9,0%,Aug 04 2025 06:09:46 AM
190.0,18.2%,35.4%,64.3%,25.8,0%,Aug 05 2025 04:31:25 AM
189.0,17.9%,35.6%,64.5%,25.6,0%,Aug 06 2025 05:26:42 AM
188.2,17.7%,35.6%,64.6%,25.5,0%,Aug 07 2025 04:54:04 AM
189.0,17.9%,35.6%,64.5%,25.6,0%,Aug 08 2025 04:39:38 AM
188.2,17.7%,35.6%,64.7%,25.5,0%,Aug 09 2025 04:11:09 AM
188.4,17.7%,35.7%,64.7%,25.5,0%,Aug 10 2025 05:53:34 AM
188.2,17.7%,35.7%,64.7%,25.5,0%,Aug 11 2025 05:00:18 AM
186.6,17.4%,35.8%,64.9%,25.3,0%,Aug 12 2025 05:18:36 AM
186.0,17.3%,35.9%,65%,25.2,0%,Aug 13 2025 03:36:59 AM
185.6,17.3%,35.9%,65%,25.2,0%,Aug 14 2025 04:34:11 AM
185.4,17.3%,35.9%,65%,25.1,0%,Aug 15 2025 04:46:39 AM
185.6,17.2%,35.9%,65%,25.2,0%,Aug 16 2025 04:39:14 AM
185.2,17.1%,36%,65.1%,25.1,0%,Aug 17 2025 05:01:54 AM
185.0,17.1%,36%,65.1%,25.1,0%,Aug 18 2025 05:06:24 AM
185.4,17.1%,36%,65.2%,25.1,0%,Aug 19 2025 04:50:12 AM
185.0,17.1%,36%,65.1%,25.1,0%,Aug 20 2025 04:34:06 AM
184.8,17.1%,36%,65.1%,25.1,0%,Aug 21 2025 04:49:24 AM
184.4,17%,36.1%,65.3%,25,0%,Aug 22 2025 04:32:41 AM
182.6,16.6%,36.3%,65.6%,24.8,0%,Aug 23 2025 07:25:15 AM
183.4,16.8%,36.1%,65.4%,24.9,0%,Aug 24 2025 06:37:17 AM
